Station,Phase,Time,EVs Charging
Cluster_0,3,21,1.0
Cluster_0,3,22,0.0
Cluster_0,3,23,1.0
Cluster_0,3,24,2.0
Cluster_1,1,1,0.0
Cluster_1,1,2,0.0
Cluster_1,1,3,0.0
Cluster_1,1,4,0.0
Cluster_1,1,5,0.0
Cluster_1,1,6,0.0
Cluster_1,1,7,0.0
Cluster_1,1,8,0.0
Cluster_1,1,9,0.0
Cluster_1,1,10,0.0
Cluster_1,1,11,0.0
Cluster_1,1,12,0.0
Cluster_1,1,13,0.0
Cluster_1,1,14,0.0
Cluster_1,1,15,0.0
Cluster_1,1,16,0.0
Cluster_1,1,17,0.0
Cluster_1,1,18,0.0
Cluster_1,1,19,0.0
Cluster_1,1,20,0.0
Cluster_1,1,21,0.0
Cluster_1,1,22,0.0
Cluster_1,1,23,0.0
Cluster_1,1,24,0.0
Cluster_1,2,1,0.0
Cluster_1,2,2,0.0
Cluster_1,2,3,0.0
Cluster_1,2,4,0.0
Cluster_1,2,5,0.0
Cluster_1,2,6,0.0
Cluster_1,2,7,0.0
Cluster_1,2,8,0.0
Cluster_1,2,9,0.0
Cluster_1,2,10,0.0
Cluster_1,2,11,0.0
Cluster_1,2,12,0.0
Cluster_1,2,13,0.0
Cluster_1,2,14,0.0
Cluster_1,2,15,0.0
Cluster_1,2,16,0.0
Cluster_1,2,17,0.0
Cluster_1,2,18,0.0
Cluster_1,2,19,0.0
Cluster_1,2,20,0.0
Cluster_1,2,21,0.0
Cluster_1,2,22,0.0
Cluster_1,2,23,0.0
Cluster_1,2,24,0.0
Cluster_1,3,1,2.0
Cluster_1,3,2,1.0
Cluster_1,3,3,0.0
Cluster_1,3,4,2.0
Cluster_1,3,5,2.0
Cluster_1,3,6,0.0
Cluster_1,3,7,0.0
Cluster_1,3,8,0.0
Cluster_1,3,9,0.0
Cluster_1,3,10,0.0
Cluster_1,3,11,0.0
Cluster_1,3,12,0.0
Cluster_1,3,13,0.0
Cluster_1,3,14,0.0
Cluster_1,3,15,0.0
Cluster_1,3,16,0.0
Cluster_1,3,17,0.0
Cluster_1,3,18,0.0
Cluster_1,3,19,0.0
Cluster_1,3,20,0.0
Cluster_1,3,21,0.0
Cluster_1,3,22,0.0
Cluster_1,3,23,0.0
Cluster_1,3,24,2.0
Cluster_2,1,1,1.0
Cluster_2,1,2,3.0
Cluster_2,1,3,3.0
Cluster_2,1,4,3.0
Cluster_2,1,5,1.0
Cluster_2,1,6,0.0
Cluster_2,1,7,0.0
Cluster_2,1,8,3.0
Cluster_2,1,9,0.0
Cluster_2,1,10,0.0
Cluster_2,1,11,0.0
Cluster_2,1,12,0.0
Cluster_2,1,13,0.0
Cluster_2,1,14,0.0
Cluster_2,1,15,0.0
Cluster_2,1,16,0.0
Cluster_2,1,17,0.0
Cluster_2,1,18,0.0
Cluster_2,1,19,0.0
Cluster_2,1,20,0.0
Cluster_2,1,21,0.0
Cluster_2,1,22,0.0
Cluster_2,1,23,0.0
Cluster_2,1,24,3.0
Cluster_2,2,1,3.0
Cluster_2,2,2,3.0
Cluster_2,2,3,3.0
Cluster_2,2,4,3.0
Cluster_2,2,5,2.0
Cluster_2,2,6,0.0
Cluster_2,2,7,0.0
Cluster_2,2,8,0.0
Cluster_2,2,9,0.0
Cluster_2,2,10,0.0
Cluster_2,2,11,0.0
Cluster_2,2,12,0.0
Cluster_2,2,13,0.0
Cluster_2,2,14,1.0
Cluster_2,2,15,0.0
Cluster_2,2,16,0.0
Cluster_2,2,17,0.0
Cluster_2,2,18,0.0
Cluster_2,2,19,0.0
Cluster_2,2,20,0.0
Cluster_2,2,21,0.0
Cluster_2,2,22,0.0
Cluster_2,2,23,0.0
Cluster_2,2,24,3.0
Cluster_2,3,1,3.0
Cluster_2,3,2,3.0
Cluster_2,3,3,3.0
Cluster_2,3,4,3.0
Cluster_2,3,5,1.0
Cluster_2,3,6,1.0
Cluster_2,3,7,0.0
Cluster_2,3,8,0.0
Cluster_2,3,9,0.0
Cluster_2,3,10,0.0
Cluster_2,3,11,0.0
Cluster_2,3,12,0.0
Cluster_2,3,13,0.0
Cluster_2,3,14,0.0
Cluster_2,3,15,0.0
Cluster_2,3,16,0.0
Cluster_2,3,17,0.0
Cluster_2,3,18,0.0
Cluster_2,3,19,0.0
Cluster_2,3,20,0.0
Cluster_2,3,21,0.0
Cluster_2,3,22,0.0
Cluster_2,3,23,0.0
Cluster_2,3,24,3.0
Cluster_3,1,1,0.0
Cluster_3,1,2,0.0
Cluster_3,1,3,1.0
Cluster_3,1,4,0.0
Cluster_3,1,5,0.0
Cluster_3,1,6,0.0
Cluster_3,1,7,0.0
Cluster_3,1,8,0.0
Cluster_3,1,9,0.0
Cluster_3,1,10,0.0
Cluster_3,1,11,0.0
Cluster_3,1,12,0.0
Cluster_3,1,13,0.0
Cluster_3,1,14,0.0
Cluster_3,1,15,0.0
Cluster_3,1,16,0.0
Cluster_3,1,17,0.0
Cluster_3,1,18,0.0
Cluster_3,1,19,0.0
Cluster_3,1,20,0.0
Cluster_3,1,21,0.0
Cluster_3,1,22,0.0
Cluster_3,1,23,0.0
Cluster_3,1,24,0.0
Cluster_3,2,1,4.0
Cluster_3,2,2,4.0
Cluster_3,2,3,4.0
Cluster_3,2,4,4.0
Cluster_3,2,5,4.0
Cluster_3,2,6,2.0
Cluster_3,2,7,0.0
Cluster_3,2,8,0.0
Cluster_3,2,9,0.0
Cluster_3,2,10,0.0
Cluster_3,2,11,0.0
Cluster_3,2,12,0.0
Cluster_3,2,13,0.0
Cluster_3,2,14,0.0
Cluster_3,2,15,0.0
Cluster_3,2,16,0.0
Cluster_3,2,17,0.0
Cluster_3,2,18,0.0
Cluster_3,2,19,0.0
Cluster_3,2,20,0.0
Cluster_3,2,21,0.0
Cluster_3,2,22,0.0
Cluster_3,2,23,0.0
Cluster_3,2,24,4.0
Cluster_3,3,1,4.0
Cluster_3,3,2,4.0
Cluster_3,3,3,4.0
Cluster_3,3,4,4.0
Cluster_3,3,5,4.0
Cluster_3,3,6,2.0
Cluster_3,3,7,0.0
Cluster_3,3,8,0.0
Cluster_3,3,9,0.0
Cluster_3,3,10,0.0
Cluster_3,3,11,0.0
Cluster_3,3,12,0.0
Cluster_3,3,13,0.0
Cluster_3,3,14,0.0
Cluster_3,3,15,0.0
Cluster_3,3,16,0.0
Cluster_3,3,17,0.0
Cluster_3,3,18,0.0
Cluster_3,3,19,0.0
Cluster_3,3,20,0.0
Cluster_3,3,21,0.0
Cluster_3,3,22,0.0
Cluster_3,3,23,0.0
Cluster_3,3,24,4.0
